category,path,sha256,size_bytes
task_run,research\runs\openai_agents_T02\run.patch,e821eef19d6bde168643964beee698da760dacf12625e3b5d705ca06458150b4,1424
task_run,research\runs\openai_agents_T03\manifest.json,45e1dd563ff40d7b0613997e12bc073bd126f1f5b626bc68ac87e6e38a06df06,626
task_run,research\runs\openai_agents_T03\run.patch,293601c827e4af8c2c1dc7d4a201ca48bae1c7f071013d00d6c04d987ee7143d,1586
task_run,research\runs\openai_agents_T06\manifest.json,a0af3a550db12914ab2c95a2bc6a7eafd2185ce8dfd673c97132c35c3cf69ef2,628
task_run,research\runs\openai_agents_T06\run.patch,3ccd3d18203e2d03a19ab283096d54ccfddfdecf4a5c8d3464026484ab9156fe,1538
task_run,research\runs\openai_agents_T07\manifest.json,b25de5cc7e98db841979183128b0e8ad51a9231662e911a7c6a05cde8cf5a717,618
task_run,research\runs\openai_agents_T07\run.patch,24aaf51148d1bee55bdbe615fc61fc315950bad283111442ca764298cbd0b534,952
task_run,research\runs\pilot_agentcore_T01\manifest.json,51add2701c5e187b40d11f8486395aba714a07575c901093a9bf1f79779f33e6,940
task_run,research\runs\pilot_agentcore_T01\pilot.patch,20649c7c854df3df7ccfc4588c9cb513633453431fe87fa09a494200739836a2,11137
task_run,research\runs\pilot_agentcore_T01_R2\manifest.json,fd2b6c2b43df595a95ed32d352c4a86403f3e5c4136728389ba14c88c8735fb0,949
task_run,research\runs\pilot_agentcore_T01_R2\pilot.patch,b3cce2bae7ae577fcca60fdde55582f7100d78da70ddd24299e9222d5b2d54bb,11793
task_run,research\runs\pilot_langgraph_T01\manifest.json,5cdbdb11a96c25bd4032a56f90a3133cf4940fbc5f65905eb8e64c30e010ce53,1104
task_run,research\runs\pilot_langgraph_T01\pilot.patch,9e16630baa581b137c87199dc33d2f71facc640d6303da7f9b5584a268b72d07,1057
task_run,research\runs\pilot_langgraph_T01_R2\manifest.json,fd665cd15cebc54d186d94a2b943c0736e8ba9ed1cda25a59e12da0e4feb5a11,1103
task_run,research\runs\pilot_langgraph_T01_R2\pilot.patch,d12cadab8ebec2d9b4477f33704b93b2a38e804522e2812b8d3c45400accabd5,1660
task_run,research\runs\pydanticai_T01\manifest.json,bfe4309b126936e5949221e3e0e1071f98f741b55764ded0ef9d66b6aa7f570a,684
task_run,research\runs\pydanticai_T01\run.patch,a70f58ea315fc989d26aa8a1c4836b076944fb75c610c4826908eec99e0e9b72,1133
task_run,research\runs\pydanticai_T02\manifest.json,fe6ce719cff4ac84e0385149327447df2bb6b93a005a19e6160c242c87cdfb19,678
task_run,research\runs\pydanticai_T02\run.patch,0fe2c98cfaba6be248351dea1d54e057ed46e6bab917cfd67a406e2d10fda00c,1636
task_run,research\runs\pydanticai_T03\manifest.json,46882d88c29660e0b37ce4342ef6f6d30af0b653cd4ee62faa05cac41c885e34,675
task_run,research\runs\pydanticai_T03\run.patch,33077dfb1797b30f8a57675338cbf412020acc63b260b11021d29406ffadf803,1708
task_run,research\runs\pydanticai_T05\manifest.json,b40bcfd579ecb57bf058b7a8348f8f128ba599dba577f872d04e2fa521941762,683
task_run,research\runs\pydanticai_T05\run.patch,84d0c5f5edc97c5ee2bb066b36e10a306131e31837deced1a336c227edd5dc0f,1295
task_run,research\runs\pydanticai_T06\manifest.json,02f5c3276e38e1ed14c082901056e2f0886689937e9ac4087d29dab6915b4c17,680
task_run,research\runs\pydanticai_T06\run.patch,5946a3489852727494c6cfa4ab59cb3b7c0a78a39f4c36a0fc2260ae439e5c1c,2039
task_run,research\runs\pydanticai_T07\manifest.json,de893c9f35f1e126a09ec09011b5168309b1c56b21699e1bacfe476fcf010fd3,680
task_run,research\runs\pydanticai_T07\run.patch,066a995bd91a1f47f355e58e02050ec4ac529fb92845ee760df03067d36bce43,1098
